deal_id,stage,stage_order,stage_duration_days,rep,region,segment,seller_tenure_years,seller_tenure_bucket,approval_count,quote_revisions,outcome
1,Lead,1,0.76,REP_115,North America,SMB,3.5,3-6,0,0,Won
1,Qualify,2,6.59,REP_115,North America,SMB,3.5,3-6,0,0,Won
1,Opportunity,3,3.97,REP_115,North America,SMB,3.5,3-6,0,0,Won
1,Quote,4,4.4,REP_115,North America,SMB,3.5,3-6,0,0,Won
1,Close,5,1.79,REP_115,North America,SMB,3.5,3-6,0,0,Won
2,Lead,1,4.31,REP_049,EMEA,Mid-Market,3.7,3-6,2,2,Won
2,Qualify,2,5.3,REP_049,EMEA,Mid-Market,3.7,3-6,2,2,Won
2,Opportunity,3,0.25,REP_049,EMEA,Mid-Market,3.7,3-6,2,2,Won
2,Quote,4,9.51,REP_049,EMEA,Mid-Market,3.7,3-6,2,2,Won
2,Close,5,5.9,REP_049,EMEA,Mid-Market,3.7,3-6,2,2,Won
3,Lead,1,0.29,REP_144,EMEA,SMB,4.8,3-6,1,1,Won
3,Qualify,2,7.77,REP_144,EMEA,SMB,4.8,3-6,1,1,Won
3,Opportunity,3,3.32,REP_144,EMEA,SMB,4.8,3-6,1,1,Won
3,Quote,4,0.33,REP_144,EMEA,SMB,4.8,3-6,1,1,Won
3,Close,5,1.66,REP_144,EMEA,SMB,4.8,3-6,1,1,Won
4,Lead,1,2.03,REP_066,EMEA,Mid-Market,0.2,0-1,1,1,Won
4,Qualify,2,6.81,REP_066,EMEA,Mid-Market,0.2,0-1,1,1,Won
4,Opportunity,3,7.19,REP_066,EMEA,Mid-Market,0.2,0-1,1,1,Won
4,Quote,4,3.14,REP_066,EMEA,Mid-Market,0.2,0-1,1,1,Won
4,Close,5,7.8,REP_066,EMEA,Mid-Market,0.2,0-1,1,1,Won
5,Lead,1,0.56,REP_096,EMEA,SMB,3.0,3-6,1,2,Won
5,Qualify,2,3.85,REP_096,EMEA,SMB,3.0,3-6,1,2,Won
5,Opportunity,3,1.25,REP_096,EMEA,SMB,3.0,3-6,1,2,Won
5,Quote,4,5.91,REP_096,EMEA,SMB,3.0,3-6,1,2,Won
5,Close,5,0.58,REP_096,EMEA,SMB,3.0,3-6,1,2,Won
6,Lead,1,8.37,REP_057,North America,Mid-Market,5.6,3-6,2,1,Won
6,Qualify,2,4.14,REP_057,North America,Mid-Market,5.6,3-6,2,1,Won
6,Opportunity,3,4.14,REP_057,North America,Mid-Market,5.6,3-6,2,1,Won
6,Quote,4,4.56,REP_057,North America,Mid-Market,5.6,3-6,2,1,Won
6,Close,5,2.25,REP_057,North America,Mid-Market,5.6,3-6,2,1,Won
7,Lead,1,2.19,REP_057,North America,SMB,5.6,3-6,3,0,Won
7,Qualify,2,0.9,REP_057,North America,SMB,5.6,3-6,3,0,Won
7,Opportunity,3,4.25,REP_057,North America,SMB,5.6,3-6,3,0,Won
7,Quote,4,4.86,REP_057,North America,SMB,5.6,3-6,3,0,Won
7,Close,5,1.38,REP_057,North America,SMB,5.6,3-6,3,0,Won
8,Lead,1,4.88,REP_029,North America,Enterprise,3.1,3-6,7,3,Lost
8,Qualify,2,11.77,REP_029,North America,Enterprise,3.1,3-6,7,3,Lost
8,Opportunity,3,24.15,REP_029,North America,Enterprise,3.1,3-6,7,3,Lost
9,Lead,1,2.19,REP_174,LATAM,SMB,3.9,3-6,1,1,Won
9,Qualify,2,2.28,REP_174,LATAM,SMB,3.9,3-6,1,1,Won
9,Opportunity,3,3.46,REP_174,LATAM,SMB,3.9,3-6,1,1,Won
9,Quote,4,3.87,REP_174,LATAM,SMB,3.9,3-6,1,1,Won
9,Close,5,2.18,REP_174,LATAM,SMB,3.9,3-6,1,1,Won
10,Lead,1,1.45,REP_027,North America,Mid-Market,4.5,3-6,4,1,Won
10,Qualify,2,5.25,REP_027,North America,Mid-Market,4.5,3-6,4,1,Won
10,Opportunity,3,9.51,REP_027,North America,Mid-Market,4.5,3-6,4,1,Won
10,Quote,4,1.5,REP_027,North America,Mid-Market,4.5,3-6,4,1,Won
10,Close,5,1.55,REP_027,North America,Mid-Market,4.5,3-6,4,1,Won
11,Lead,1,0.42,REP_016,North America,SMB,2.4,1-3,6,4,Won
11,Qualify,2,3.87,REP_016,North America,SMB,2.4,1-3,6,4,Won
11,Opportunity,3,5.0,REP_016,North America,SMB,2.4,1-3,6,4,Won
11,Quote,4,7.2,REP_016,North America,SMB,2.4,1-3,6,4,Won
11,Close,5,5.54,REP_016,North America,SMB,2.4,1-3,6,4,Won
12,Lead,1,4.2,REP_169,North America,SMB,0.2,0-1,2,0,Won
12,Qualify,2,6.43,REP_169,North America,SMB,0.2,0-1,2,0,Won
12,Opportunity,3,8.19,REP_169,North America,SMB,0.2,0-1,2,0,Won
12,Quote,4,2.66,REP_169,North America,SMB,0.2,0-1,2,0,Won
12,Close,5,1.02,REP_169,North America,SMB,0.2,0-1,2,0,Won
13,Lead,1,1.04,REP_100,LATAM,Mid-Market,1.7,1-3,2,3,Lost
13,Qualify,2,4.56,REP_100,LATAM,Mid-Market,1.7,1-3,2,3,Lost
13,Opportunity,3,3.99,REP_100,LATAM,Mid-Market,1.7,1-3,2,3,Lost
13,Quote,4,4.22,REP_100,LATAM,Mid-Market,1.7,1-3,2,3,Lost
14,Lead,1,0.57,REP_079,EMEA,Enterprise,4.8,3-6,2,4,Lost
14,Qualify,2,17.8,REP_079,EMEA,Enterprise,4.8,3-6,2,4,Lost
14,Opportunity,3,9.39,REP_079,EMEA,Enterprise,4.8,3-6,2,4,Lost
14,Quote,4,9.82,REP_079,EMEA,Enterprise,4.8,3-6,2,4,Lost
15,Lead,1,3.16,REP_133,EMEA,Enterprise,6.7,6+,4,0,Lost
15,Qualify,2,8.82,REP_133,EMEA,Enterprise,6.7,6+,4,0,Lost
16,Lead,1,1.19,REP_069,North America,SMB,0.6,0-1,3,0,Won
16,Qualify,2,18.52,REP_069,North America,SMB,0.6,0-1,3,0,Won
16,Opportunity,3,7.0,REP_069,North America,SMB,0.6,0-1,3,0,Won
16,Quote,4,3.15,REP_069,North America,SMB,0.6,0-1,3,0,Won
16,Close,5,3.37,REP_069,North America,SMB,0.6,0-1,3,0,Won
17,Lead,1,0.9,REP_024,APAC,SMB,3.9,3-6,3,2,Won
17,Qualify,2,1.43,REP_024,APAC,SMB,3.9,3-6,3,2,Won
17,Opportunity,3,4.62,REP_024,APAC,SMB,3.9,3-6,3,2,Won
17,Quote,4,10.36,REP_024,APAC,SMB,3.9,3-6,3,2,Won
17,Close,5,2.8,REP_024,APAC,SMB,3.9,3-6,3,2,Won
18,Lead,1,6.77,REP_132,LATAM,Mid-Market,4.4,3-6,3,2,Won
18,Qualify,2,7.22,REP_132,LATAM,Mid-Market,4.4,3-6,3,2,Won
18,Opportunity,3,17.12,REP_132,LATAM,Mid-Market,4.4,3-6,3,2,Won
18,Quote,4,17.1,REP_132,LATAM,Mid-Market,4.4,3-6,3,2,Won
18,Close,5,15.16,REP_132,LATAM,Mid-Market,4.4,3-6,3,2,Won
19,Lead,1,2.92,REP_032,LATAM,Mid-Market,1.4,1-3,2,0,Lost
19,Qualify,2,10.59,REP_032,LATAM,Mid-Market,1.4,1-3,2,0,Lost
20,Lead,1,1.03,REP_100,LATAM,SMB,1.7,1-3,8,4,Lost
20,Qualify,2,6.6,REP_100,LATAM,SMB,1.7,1-3,8,4,Lost
21,Lead,1,2.34,REP_171,North America,Mid-Market,4.4,3-6,3,0,Lost
21,Qualify,2,0.54,REP_171,North America,Mid-Market,4.4,3-6,3,0,Lost
21,Opportunity,3,8.45,REP_171,North America,Mid-Market,4.4,3-6,3,0,Lost
22,Lead,1,0.86,REP_169,North America,Mid-Market,0.2,0-1,2,2,Lost
23,Lead,1,3.42,REP_065,EMEA,Mid-Market,3.0,3-6,2,0,Lost
24,Lead,1,1.0,REP_141,EMEA,SMB,1.8,1-3,0,1,Won
24,Qualify,2,6.37,REP_141,EMEA,SMB,1.8,1-3,0,1,Won
24,Opportunity,3,3.65,REP_141,EMEA,SMB,1.8,1-3,0,1,Won
24,Quote,4,14.39,REP_141,EMEA,SMB,1.8,1-3,0,1,Won
24,Close,5,0.16,REP_141,EMEA,SMB,1.8,1-3,0,1,Won
25,Lead,1,1.67,REP_111,North America,SMB,3.3,3-6,1,0,Won
25,Qualify,2,2.98,REP_111,North America,SMB,3.3,3-6,1,0,Won
25,Opportunity,3,18.64,REP_111,North America,SMB,3.3,3-6,1,0,Won
25,Quote,4,3.78,REP_111,North America,SMB,3.3,3-6,1,0,Won
25,Close,5,2.58,REP_111,North America,SMB,3.3,3-6,1,0,Won
